index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,credit_of_future_tendency,Risk_credit,Credit_to_SELL
379,2017/9/25,3942.555,3805.70889,3813.773627,3953.719562,4148.791961,3876.871636,164.935,4.37%,278.88%,68.47%,1063.697301,0.405452295,-0.082694691,407.28%,-0.01,3.07,-3.41
380,2017/9/26,3910.307383,3808.874367,3828.441762,3929.983931,4133.991929,3895.682816,-32.247617,-0.82%,276.75%,68.21%,1061.369966,0.402134898,-0.078644944,405.73%,-0.01,3.06,-7.12
381,2017/9/27,3881,3857.573857,3841.935683,3891.301006,4118.723596,3913.952816,-29.307383,-0.75%,275.07%,67.90%,1058.587872,0.398707947,-0.063405503,405.12%,-0.01,3.05,-6.44
382,2017/9/28,4201.98905,3942.694287,3894.281588,3885.86295,4105.190383,3938.220043,320.98905,8.27%,286.59%,67.65%,1057.836631,0.395816292,-0.039583084,423.66%,0.01,3.24,0.16
383,2017/9/29,4193.574667,4025.88522,3919.297722,3879.928683,4091.809943,3960.339093,-8.414383,-0.20%,281.52%,67.42%,1057.173224,0.393043831,-0.016111384,417.54%,0.02,3.18,-4.98
384,2017/9/30,4164.27,4070.22822,3937.968555,3871.644433,4077.868276,3982.028593,-29.304667,-0.70%,285.58%,67.23%,1056.10817,0.390191234,-0.001873542,424.76%,0.02,3.25,-4.96
385,2017/10/1,4360.722967,4160.311337,3984.592852,3877.27608,4059.501041,4009.81341,196.452967,4.72%,281.98%,66.98%,1056.187994,0.387624914,0.024833174,421.01%,0.04,3.21,-0.55
386,2017/10/2,4386.88375,4261.488087,4059.530972,3886.690768,4053.050917,4036.35951,26.160783,0.60%,287.16%,66.82%,1056.705786,0.385279697,0.051427227,429.76%,0.04,3.3,-2.24
387,2017/10/3,4394.07,4299.904277,4121.299282,3908.330705,4046.667584,4063.09401,7.18625,0.16%,287.64%,66.62%,1056.908122,0.382838639,0.06257907,431.78%,0.04,3.32,-2.02
388,2017/10/4,4225.175,4306.224343,4166.054782,3953.607955,4042.703473,4079.878343,-168.895,-3.84%,254.92%,66.21%,1055.454193,0.379961118,0.065184318,385.03%,0.03,2.85,-3.77
389,2017/10/5,4338.852,4341.140743,4205.684482,4009.729055,4037.707869,4097.983168,113.677,2.69%,267.34%,65.93%,1055.094207,0.377467833,0.075149784,405.49%,0.03,3.05,1.22
390,2017/10/6,4318.58,4332.71215,4246.511743,4037.476753,4035.493202,4116.456168,-20.272,-0.47%,264.74%,65.60%,1054.206817,0.374825947,0.073651208,403.54%,0.02,3.04,-0.92
391,2017/10/7,4376.191667,4330.573733,4296.03091,4068.983297,4026.210974,4131.76979,57.611667,1.33%,262.34%,65.26%,1053.516823,0.372246404,0.075595333,401.99%,0.02,3.02,0.55
392,2017/10/8,4602.280883,4372.21591,4336.060093,4115.170841,4035.928664,4152.519033,226.089216,5.17%,275.20%,64.95%,1054.681758,0.370204818,0.083323387,423.70%,0.03,3.24,3.26
393,2017/10/9,4605.66,4448.31291,4377.268627,4148.283174,4045.708664,4173.608699,3.379117,0.07%,277.79%,64.67%,1055.705961,0.36815185,0.0995139,429.57%,0.03,3.3,0.18
394,2017/10/10,4782.28,4536.99851,4439.069627,4188.519091,4060.786164,4192.771588,176.62,3.83%,305.27%,64.56%,1058.00192,0.366436898,0.117270973,472.82%,0.04,3.73,3
395,2017/10/11,4819.485767,4637.179663,4484.945907,4234.769379,4079.832689,4208.882969,37.205767,0.78%,306.62%,64.38%,1059.94687,0.364571578,0.136610253,476.30%,0.05,3.76,1.05
396,2017/10/12,4822.17,4726.37533,4528.474532,4294.002752,4100.618689,4224.777136,2.684233,0.06%,312.02%,64.21%,1061.581443,0.362627606,0.152600544,485.95%,0.07,3.86,0.49
397,2017/10/13,5563.806567,4918.680467,4645.448188,4383.373735,4154.036532,4246.124045,741.636567,15.38%,368.76%,64.64%,1071.31116,0.362941858,0.184072511,570.47%,0.1,4.7,10.42
398,2017/10/14,5739.438733,5145.436213,4796.874562,4481.464672,4234.696824,4271.497552,175.632166,3.16%,376.05%,65.17%,1082.960039,0.363788433,0.21506602,577.06%,0.1,4.77,3.26
399,2017/10/15,5825.99,5354.178213,4945.588362,4575.636422,4321.682157,4298.931219,86.551267,1.51%,395.00%,65.98%,1095.291979,0.364802807,0.238910688,598.68%,0.1,4.99,3.2
400,2017/10/16,5711.205867,5532.522233,5084.850948,4665.681346,4386.601484,4321.972554,-114.784133,-1.97%,368.93%,66.33%,1105.063498,0.365011837,0.261232016,556.19%,0.09,4.56,2.69
401,2017/10/17,5603.71294,5688.830821,5207.603076,4751.816993,4448.523223,4346.527102,-107.492927,-1.88%,351.30%,66.49%,1113.173802,0.364771237,0.278813336,528.35%,0.07,4.28,4.61
402,2017/10/18,5594.66,5695.001508,5306.840987,4821.45054,4512.394223,4371.359602,-9.05294,-0.16%,352.41%,66.59%,1120.805244,0.364400221,0.26207978,529.19%,0.07,4.29,5.07
403,2017/10/19,5727.6335,5692.640461,5419.038337,4898.153482,4571.868229,4397.52086,132.9735,2.38%,354.10%,66.68%,1129.493253,0.364286193,0.245145349,531.01%,0.05,4.31,7.35
404,2017/10/20,5979.45984,5723.334429,5538.756321,4988.912974,4638.598168,4429.783157,251.82634,4.40%,375.32%,67.04%,1141.129234,0.364970664,0.233850017,559.82%,0.03,4.6,8.81
405,2017/10/21,5986.44,5778.381256,5655.451745,5070.198826,4708.330168,4463.119157,6.98016,0.12%,382.45%,67.44%,1152.122666,0.365433409,0.227267641,567.12%,0.02,4.67,5.89
406,2017/10/22,5983.18455,5854.275578,5771.5532,5150.013866,4786.519568,4493.2564,-3.25545,-0.05%,367.65%,67.59%,1162.224537,0.365599257,0.22307566,543.92%,0.01,4.44,5.93
407,2017/10/23,5876.079867,5910.559551,5802.78053,5224.114359,4856.509333,4518.852452,-107.104683,-1.79%,348.86%,67.47%,1170.630684,0.365325071,0.217038648,517.03%,0.01,4.17,4.8
408,2017/10/24,5900.59,5945.150851,5818.895656,5307.885109,4927.275,4544.999452,24.510133,0.42%,358.11%,67.45%,1179.004546,0.365048438,0.206579875,530.90%,0.01,4.31,5.88
409,2017/10/25,5669.622533,5883.18339,5803.25891,5374.423636,4984.843918,4566.817939,-230.967467,-3.91%,325.87%,67.07%,1183.860644,0.363825023,0.180214163,485.89%,0.01,3.86,2.15
410,2017/10/26,5893.138417,5864.523073,5821.452165,5453.151557,5050.938286,4592.465107,223.515884,3.94%,341.44%,66.82%,1191.197323,0.363266032,0.161075971,510.97%,0.01,4.11,6.44
411,2017/10/27,5889.82,5845.850163,5850.062871,5528.832973,5117.898952,4618.311274,-3.318417,-0.06%,341.85%,66.54%,1197.952858,0.36254394,0.142236339,513.71%,0,4.14,2.83
412,2017/10/28,5776.69695,5825.97358,5868.266566,5587.553777,5170.389216,4637.789799,-113.12305,-1.92%,307.62%,65.98%,1202.826168,0.361334081,0.126795941,466.22%,0.01,3.66,1.04
413,2017/10/29,6155.43402,5876.942384,5911.046618,5665.042478,5235.784527,4663.797235,378.73707,6.56%,323.91%,65.53%,1212.458764,0.361385796,0.122456884,494.28%,0.02,3.94,5.83
414,2017/10/30,6136.49,5970.315877,5926.749634,5732.752978,5301.525194,4689.696735,-18.94402,-0.31%,323.92%,65.26%,1221.524882,0.361300963,0.126150619,496.38%,0.03,3.96,0.64
415,2017/10/31,6388.645167,6069.417227,5966.97015,5811.210948,5369.122601,4714.311821,252.155167,4.11%,323.57%,64.96%,1233.169579,0.361823698,0.130429994,498.12%,0.04,3.98,3.43
416,2017/11/1,6665.306683,6224.514564,6035.182364,5903.367782,5445.070032,4749.060474,276.661516,4.33%,334.69%,64.75%,1248.42466,0.363262892,0.143146833,516.90%,0.06,4.17,3.11
417,2017/11/2,6751.98,6419.571174,6122.772377,5962.776453,5523.667032,4785.167308,86.673317,1.30%,344.57%,64.62%,1264.294952,0.364820112,0.162193727,533.25%,0.07,4.33,1.15
418,2017/11/3,7197.72006,6628.028382,6252.485383,6035.69052,5622.751867,4832.72767,445.74006,6.60%,368.64%,64.69%,1285.875381,0.367718105,0.17878728,569.86%,0.08,4.7,4.81
419,2017/11/4,7437.543317,6888.239045,6429.277461,6116.268186,5726.041578,4881.874723,239.823257,3.33%,353.34%,64.60%,1310.327861,0.371249099,0.202966998,546.96%,0.08,4.47,4.02
420,2017/11/5,7365.99,7083.708012,6576.56262,6199.007392,5827.621911,4931.557556,-71.553317,-0.96%,346.13%,64.53%,1333.253301,0.374389139,0.215540081,536.38%,0.07,4.36,2.3
421,2017/11/6,6989.071667,7148.461009,6686.487786,6268.275329,5914.717911,4970.464443,-376.918333,-5.12%,296.46%,64.11%,1349.614544,0.375870751,0.208588662,462.41%,0.05,3.62,0.68
422,2017/11/7,7092.127233,7216.490455,6818.030815,6343.14869,5997.712789,5016.820727,103.055566,1.47%,289.47%,63.81%,1367.433031,0.377735794,0.203207074,453.66%,0.03,3.54,6.03
423,2017/11/8,7128.64,7202.674443,6915.351413,6413.199015,6081.812123,5063.760393,36.512767,0.51%,289.76%,63.59%,1385.330964,0.379604922,0.184297426,455.66%,0.02,3.56,5.25
424,2017/11/9,7158.03706,7146.773192,7017.506119,6472.127876,6161.004025,5110.895094,29.39706,0.41%,303.97%,63.44%,1402.84722,0.38132825,0.160001383,479.13%,-0.01,3.79,4.94
425,2017/11/10,6719.39785,7017.454762,7050.581387,6508.775769,6224.334427,5152.083558,-438.63921,-6.13%,278.28%,63.11%,1413.584077,0.38141286,0.127422513,440.97%,-0.03,3.41,0.3
426,2017/11/11,6569.22,6933.484429,7040.972719,6538.077541,6282.569427,5191.594058,-150.17785,-2.23%,269.06%,62.73%,1422.051149,0.380975426,0.103606496,428.92%,-0.04,3.29,2.26
427,2017/11/12,5716.301583,6658.319299,6937.404877,6530.088627,6287.652595,5220.844564,-852.918417,-12.98%,228.71%,62.33%,1422.121779,0.378787426,0.058951524,366.90%,-0.05,2.67,-6.5
428,2017/11/13,6550.227533,6542.636805,6872.655624,6562.570504,6314.678888,5274.687856,833.92595,14.59%,262.39%,61.80%,1429.149754,0.377983232,0.036099685,424.58%,-0.02,3.25,9.76
429,2017/11/14,6493.63,6409.755393,6778.264293,6603.770877,6336.933555,5329.307856,-56.597533,-0.86%,264.00%,61.31%,1435.595796,0.377105857,0.011491653,430.56%,0,3.31,-3.21
430,2017/11/15,7301.42992,6526.161807,6771.808285,6674.185452,6389.941023,5388.271254,807.79992,12.44%,272.23%,60.79%,1450.815889,0.378076503,0.021318003,447.79%,0.04,3.48,4.52
431,2017/11/16,7815.0307,6775.323947,6854.404188,6770.445987,6463.651615,5456.087419,513.60078,7.03%,280.68%,60.55%,1473.700686,0.380830687,0.048219234,463.53%,0.05,3.64,1.03
432,2017/11/17,7868.77,7205.817631,6932.068465,6875.04964,6539.455282,5525.924752,53.7393,0.69%,291.71%,60.40%,1496.957534,0.383655017,0.101898755,482.94%,0.07,3.83,-1.58
433,2017/11/18,7817.140383,7459.200201,7000.918503,6958.134958,6609.105511,5590.48687,-51.629617,-0.66%,273.91%,60.15%,1518.139756,0.385909945,0.128624772,455.34%,0.05,3.55,-0.14
434,2017/11/19,8007.654067,7762.005014,7085.880204,7051.693161,6676.711985,5657.655077,190.513684,2.44%,250.03%,59.94%,1541.620906,0.388649193,0.162549026,417.14%,0.06,3.17,3.8
435,2017/11/20,8049.72,7911.66303,7218.912419,7134.746903,6745.487985,5726.909077,42.065933,0.53%,256.76%,59.87%,1565.923938,0.391633015,0.172882236,428.90%,0.05,3.29,3.39
436,2017/11/21,8059.8,7960.61689,7367.970419,7204.471569,6814.7085,5800.614034,10.08,0.13%,237.62%,59.78%,1589.167088,0.394284305,0.168152224,397.48%,0.06,2.97,2.75
437,2017/11/22,8268.035,8040.46989,7623.14376,7280.274319,6894.440338,5875.474836,208.235,2.58%,273.78%,59.78%,1615.142278,0.39752442,0.166225175,458.02%,0.05,3.58,4.26
438,2017/11/23,8236.72,8124.385813,7791.793007,7332.224316,6972.311338,5949.793169,-31.315,-0.38%,261.29%,59.68%,1638.563252,0.400011801,0.165235661,437.84%,0.04,3.38,2.78
439,2017/11/24,8250.978333,8173.050667,7967.52784,7372.896066,7058.356531,6021.600225,14.258333,0.17%,276.24%,59.64%,1661.607293,0.402396654,0.157925451,463.22%,0.04,3.63,2.48
440,2017/11/25,8707.407267,8304.58812,8108.125575,7439.96693,7152.165493,6101.551889,456.428934,5.53%,282.59%,59.55%,1689.593582,0.405638584,0.161129189,474.54%,0.05,3.75,5.71
441,2017/11/26,8768.8,8446.38812,8203.502505,7528.953346,7248.131493,6183.015223,61.392733,0.71%,282.91%,59.49%,1717.790377,0.408886665,0.165319383,475.54%,0.06,3.76,1.95
442,2017/11/27,9718.29505,8736.44013,8388.45501,7660.261737,7379.518096,6274.953656,949.49505,10.83%,325.13%,59.64%,1759.861304,0.414848254,0.183876781,545.14%,0.08,4.45,8.21
443,2017/11/28,9952.50882,9079.597894,8601.991854,7801.455178,7506.087256,6370.935892,234.21377,2.41%,314.82%,59.66%,1803.975735,0.421043275,0.209631274,527.69%,0.09,4.28,3.34
444,2017/11/29,9919,9413.202227,8793.126447,7939.503325,7632.170923,6466.848059,-33.50882,-0.34%,311.59%,59.74%,1846.175481,0.426754502,0.233358414,521.62%,0.09,4.22,2.57
445,2017/11/30,10147.372,9701.195174,9002.891647,8110.902033,7757.461818,6563.292209,228.372,2.30%,301.75%,59.77%,1890.36356,0.432693172,0.250563058,504.89%,0.1,4.05,4.87
446,2017/12/1,10883.912,10124.21757,9285.302847,8326.636633,7898.081995,6671.576013,736.54,7.26%,332.56%,60.02%,1946.043281,0.440778996,0.281857745,554.07%,0.1,4.54,9.62
447,2017/12/2,10879.88,10356.53456,9546.487347,8584.815554,8035.678661,6779.672847,-4.032,-0.04%,330.11%,60.25%,1998.984259,0.448080438,0.288818904,547.92%,0.1,4.48,5.12
448,2017/12/3,11332.622,10632.5572,9856.077547,8823.935277,8173.508726,6898.130297,452.742,4.16%,293.04%,60.29%,2057.624856,0.456250951,0.300855918,486.08%,0.09,3.86,9.75
449,2017/12/4,11584.83,10965.7232,10189.46271,9078.495277,8311.751616,7018.896597,252.208,2.23%,334.72%,60.55%,2119.773743,0.465073989,0.319303524,552.79%,0.1,4.53,8.07
450,2017/12/5,11591.22,11254.4928,10477.84399,9292.984781,8452.592616,7140.107263,6.39,0.06%,332.02%,60.80%,2178.189573,0.472774899,0.331484115,546.09%,0.13,4.46,5.77
451,2017/12/6,13540.98,11785.9064,10955.06199,9579.282246,8670.98956,7292.853735,1949.76,16.82%,378.90%,61.46%,2271.872145,0.486770649,0.359234297,616.50%,0.18,5.17,15.65
452,2017/12/7,16501.97167,12910.32473,11633.42965,10010.94233,8984.651041,7491.181915,2960.99167,21.87%,479.96%,63.62%,2431.216453,0.51261391,0.436931126,754.39%,0.2,6.54,20.43
453,2017/12/8,16860.88,14015.97633,12324.26677,10463.12931,9309.059041,7695.435582,358.90833,2.17%,481.68%,65.72%,2587.710089,0.536845191,0.505627612,732.90%,0.2,6.33,10.69
454,2017/12/9,15142.83415,14727.57716,12846.65018,10819.88831,9575.218944,7868.111484,-1718.04585,-10.19%,469.78%,67.52%,2694.434331,0.551249845,0.538092993,695.71%,0.17,5.96,5.16
455,2017/12/10,14869.805,15383.29416,13318.89348,11160.89256,9846.899183,8035.616805,-273.02915,-1.80%,441.08%,68.81%,2788.98501,0.562824779,0.562247554,641.02%,0.17,5.41,13.02
456,2017/12/11,15068.95,15688.88816,13737.39728,11511.35006,10130.22352,8206.396472,199.145,1.34%,456.87%,70.29%,2883.054125,0.573924289,0.548720829,649.94%,0.16,5.5,14.7
457,2017/12/12,17276.39333,15843.7725,14377.04862,11961.76798,10515.55991,8401.606251,2207.44333,14.65%,607.33%,74.76%,3017.503859,0.591214811,0.506697944,812.42%,0.16,7.12,20.67
458,2017/12/13,16808.36667,15833.26983,14924.62308,12390.35031,10857.49788,8586.088383,-468.02666,-2.71%,581.89%,78.22%,3133.172798,0.604477566,0.4582798,743.87%,0.1,6.44,9.62
459,2017/12/14,16252.31,16055.165,15391.37108,12790.4169,11182.78721,8759.860383,-556.05667,-3.31%,555.88%,80.98%,3232.19286,0.61454993,0.435703344,686.47%,0.08,5.86,9.83
460,2017/12/15,17771.9,16635.584,16009.43908,13243.64153,11531.80288,8960.871952,1519.59,9.35%,608.78%,84.68%,3355.915199,0.627984708,0.442583104,718.91%,0.07,6.19,19.19
461,2017/12/16,19498.68333,17521.53067,16605.20942,13780.1357,11921.25797,9192.454792,1726.78333,9.72%,645.02%,88.98%,3509.393663,0.645367906,0.469771958,724.90%,0.05,6.25,21.33
462,2017/12/17,19279.9,17922.232,16883.00225,14258.21595,12301.62897,9420.542125,-218.78333,-1.12%,641.53%,92.95%,3649.930882,0.660038259,0.456899086,690.20%,0.04,5.9,14.16
463,2017/12/18,18961.85667,18352.93,17093.09992,14708.68334,12673.11951,9641.112512,-318.04333,-1.65%,609.90%,96.05%,3776.662845,0.671971214,0.448177774,635.00%,0.04,5.35,13.9
464,2017/12/19,17737.11167,18649.89033,17352.52767,15099.58892,12997.43477,9837.073375,-1224.745,-6.46%,550.36%,97.93%,3875.480144,0.679490053,0.43489009,561.96%,0.03,4.62,10.91
465,2017/12/20,17382.94,18572.09833,17603.84117,15461.36732,13308.5421,10027.01504,-354.17167,-2.00%,540.61%,99.65%,3964.529277,0.685373122,0.395502092,542.52%,0.02,4.43,12.82
466,2017/12/21,16047.51,17881.86367,17701.69717,15719.54722,13574.7991,10194.7538,-1335.43,-7.68%,519.79%,101.01%,4030.123095,0.687951289,0.317283854,514.58%,0.02,4.15,5.46
467,2017/12/22,15190.945,17064.07267,17493.15233,15935.10047,13805.56277,10350.00155,-856.565,-5.34%,504.65%,102.07%,4081.57148,0.688550348,0.236028763,494.41%,0,3.94,4.22
468,2017/12/23,13776.61,16027.02333,17189.97667,16057.29987,13990.22577,10481.26855,-1414.335,-9.31%,450.62%,102.43%,4114.761221,0.686937482,0.145587184,439.95%,-0.01,3.4,-2.01
469,2017/12/24,13949.175,15269.436,16959.66317,16175.51712,14180.16565,10619.26109,172.565,1.25%,454.00%,102.78%,4148.49798,0.685333741,0.076816475,441.72%,0,3.42,1.43
470,2017/12/25,14119.02833,14616.65367,16594.376,16301.90754,14360.55302,10756.35926,169.85333,1.22%,446.12%,102.99%,4182.858274,0.683770007,0.01783362,433.16%,0,3.33,-1.67
471,2017/12/26,13740.94,14155.33967,16018.60167,16311.90554,14526.29102,10887.21126,-378.08833,-2.68%,437.11%,103.17%,4212.443758,0.681737733,-0.02553655,423.67%,0.01,3.24,-6.9
472,2017/12/27,15589.32167,14235.015,15649.54383,16266.27304,14721.99191,11050.755,1848.38167,13.45%,529.20%,104.23%,4261.023768,0.681657518,-0.033078194,507.72%,0.02,4.08,2.81
473,2017/12/28,14380.58167,14355.80933,15191.41633,16142.25812,14869.59434,11187.8408,-1208.74,-7.75%,474.95%,104.52%,4294.004731,0.67978214,-0.034552725,454.42%,0,3.54,-10.51
474,2017/12/29,14214.01,14408.77633,14839.10617,16095.81692,15012.76134,11322.46613,-166.57167,-1.16%,487.05%,104.87%,4324.167505,0.677615377,-0.04023144,464.43%,-0.03,3.64,-5.19
475,2017/12/30,13215.574,14228.08547,14422.36957,16013.10537,15115.03474,11436.24828,-998.436,-7.02%,415.99%,104.56%,4343.530972,0.674347675,-0.058679936,397.85%,-0.04,2.98,-8.82
476,2017/12/31,14165.575,14313.01247,14234.17607,15967.93662,15224.42351,11561.25275,950.001,7.19%,444.89%,104.32%,4371.342979,0.671976946,-0.059865061,426.46%,-0.05,3.26,1.19
477,2018/1/1,13796,13954.34813,14094.68157,15793.91695,15321.62751,11678.65308,-369.575,-2.61%,430.84%,104.24%,4394.794936,0.669218467,-0.089238521,413.33%,-0.07,3.13,-5.84
478,2018/1/2,15005.85667,14079.40313,14217.60623,15703.79145,15444.06866,11808.78869,1209.85667,8.77%,474.94%,104.47%,4428.992155,0.667458935,-0.088361788,454.63%,-0.07,3.55,1.79
479,2018/1/3,15053.26167,14247.25347,14328.0149,15643.83903,15559.68305,11935.71733,47.405,0.32%,504.26%,105.17%,4462.419289,0.665600592,-0.084348092,479.48%,-0.08,3.79,-3.82
480,2018/1/4,15039.24,14611.98667,14420.03607,15507.20603,15674.61705,12063.60483,-14.02167,-0.09%,500.88%,105.69%,4493.787309,0.663419276,-0.067793068,473.92%,-0.09,3.74,-2.73
481,2018/1/5,17174.12,15213.69567,14763.35407,15390.97787,15795.72172,12233.35564,2134.88,14.20%,577.15%,107.09%,4548.010719,0.663484755,-0.036847069,538.95%,-0.08,4.39,7.94
482,2018/1/6,17319.198,15918.33527,14936.3417,15292.94277,15822.96259,12403.80682,145.078,0.84%,631.95%,109.27%,4602.140346,0.663476148,0.006027485,578.34%,-0.08,4.78,-0.06
483,2018/1/7,17155.95,16348.35393,15213.87853,15202.64743,15832.79826,12570.92865,-163.248,-0.94%,637.23%,111.57%,4651.304364,0.662756638,0.032562511,571.15%,-0.08,4.71,0.14
484,2018/1/8,15265.90667,16390.88293,15319.0682,15079.08718,15836.90068,12706.05981,-1890.04333,-11.02%,539.88%,112.46%,4678.010025,0.659840874,0.034980472,480.06%,-0.06,3.8,-6.63
485,2018/1/9,14714.25333,16325.8856,15468.93613,14945.65285,15831.71562,12839.3074,-551.65334,-3.61%,524.87%,113.10%,4698.7321,0.656456854,0.031213925,464.07%,-0.04,3.64,-2.76
486,2018/1/10,14437.42,15778.5456,15496.12063,14865.14835,15810.66462,12970.44407,-276.83333,-1.88%,517.38%,113.63%,4715.820573,0.652756481,-0.002031478,455.33%,0,3.55,-4.89
487,2018/1/11,13296.794,14974.0648,15446.20003,14770.4408,15678.01131,13096.78561,-1140.626,-7.90%,545.79%,114.40%,4723.04171,0.64832289,-0.044900243,477.11%,0.02,3.77,-12.38
488,2018/1/12,13912.882,14325.4512,15336.90257,14777.2544,15581.49516,13219.49652,616.088,4.63%,620.42%,115.76%,4732.297802,0.643805748,-0.08061126,535.95%,0.04,4.36,-7.27
489,2018/1/13,13791.19,14030.50787,15210.6954,14769.35515,15499.45782,13341.12252,-121.692,-0.87%,621.69%,116.75%,4738.910792,0.639009084,-0.09477428,532.49%,0.06,4.32,-12.6
490,2018/1/14,13852.92,13858.2412,15092.0634,14756.04973,15368.82516,13450.31402,61.73,0.45%,497.08%,116.29%,4744.934321,0.634179257,-0.098288837,427.45%,0.05,3.27,-10.47
491,2018/1/15,14012.196,13773.1964,14775.871,14769.61253,15185.94225,13553.60011,159.276,1.15%,518.70%,116.42%,4753.800297,0.629925667,-0.093029844,445.55%,0.04,3.46,-9.3
492,2018/1/16,13554.14,13824.6656,14399.3652,14667.85345,14995.08358,13648.35627,-458.056,-3.27%,498.36%,116.30%,4758.149872,0.625333684,-0.078053448,428.51%,0.02,3.29,-10.66
493,2018/1/17,11116.94667,13265.47853,13795.46487,14504.6717,14733.58658,13703.35305,-2437.19333,-17.98%,314.47%,115.52%,4748.454436,0.620074117,-0.09964363,272.21%,0,1.72,-19.18
494,2018/1/18,11345.42333,12776.3252,13403.41653,14361.24237,14520.5303,13758.98253,228.47666,2.06%,304.10%,115.06%,4741.716353,0.615348192,-0.120119931,264.30%,0.01,1.64,-6.58
495,2018/1/19,11174.82,12240.7052,13049.4732,14259.20467,14313.59297,13811.06753,-170.60333,-1.50%,295.50%,114.68%,4734.519492,0.610750268,-0.144819527,257.67%,0.01,1.58,-10.37
496,2018/1/20,12950.79333,12028.42467,12900.81053,14198.46558,14210.36908,13892.58409,1775.97333,15.89%,370.63%,114.30%,4735.797858,0.606538197,-0.153545935,324.25%,0.01,2.24,0.82
497,2018/1/21,11505.228,11618.64227,12721.65393,14083.92698,14087.51184,13946.53731,-1445.56533,-11.16%,349.25%,113.90%,4728.607635,0.601889271,-0.175252352,306.62%,-0.02,2.07,-17.48
498,2018/1/22,11513.42,11697.93693,12481.70773,13909.30515,14012.07218,14001.14897,8.192,0.07%,348.99%,113.29%,4719.773332,0.597006198,-0.165152964,308.04%,-0.05,2.08,-7.67
499,2018/1/23,11223.064,11673.46507,12224.89513,13717.79527,13921.20181,14050.68373,-290.356,-2.52%,323.89%,112.68%,4709.261253,0.592093697,-0.161461401,287.44%,-0.08,1.87,-7.81
500,2018/1/24,11282.25833,11694.95273,11967.82897,13529.94618,13826.64281,14093.59792,59.19433,0.53%,305.60%,112.14%,4698.993511,0.587280259,-0.154172644,272.51%,-0.08,1.73,-4.91
501,2018/1/25,11392.03,11383.20007,11705.81237,13240.84168,13748.34581,14137.31842,109.77167,0.97%,309.08%,111.70%,4689.485507,0.582627961,-0.172031296,276.70%,-0.09,1.77,-5.25
502,2018/1/26,10969.815,11276.11747,11447.37987,12923.37253,13594.36226,14158.17708,-422.215,-3.71%,299.49%,111.29%,4677.956015,0.577948418,-0.170529867,269.11%,-0.06,1.69,-9.75
503,2018/1/27,11524.77667,11278.3888,11488.16287,12641.81387,13499.16876,14184.38155,554.96167,5.06%,302.06%,110.72%,4667.753441,0.573252839,-0.164512349,272.82%,-0.05,1.73,-3.73
504,2018/1/28,11431.37,11320.05,11496.75753,12450.08703,13406.41409,14209.58771,-93.40667,-0.81%,299.29%,110.20%,4657.428647,0.568679987,-0.155624321,271.59%,-0.06,1.72,-7.18
505,2018/1/29,11212.655,11306.12933,11500.54103,12275.00712,13339.65012,14227.34243,-218.715,-1.91%,316.26%,109.64%,4645.774038,0.564079646,-0.152441838,288.46%,-0.07,1.88,-7.37
506,2018/1/30,10184.06167,11064.53567,11223.86787,12062.3392,13206.93301,14215.67826,-1028.59333,-9.17%,264.48%,109.00%,4629.552523,0.55929975,-0.162217628,242.64%,-0.08,1.43,-11.74
507,2018/1/31,10082.52,10887.07667,11081.59707,11901.6255,13083.15034,14202.38893,-101.54167,-1.00%,261.38%,108.41%,4613.352829,0.554644453,-0.167855113,241.09%,-0.09,1.41,-6.14
508,2018/2/1,9083.258333,10398.773,10838.5809,11660.14432,12885.7304,14164.89953,-999.261667,-9.91%,182.25%,108.31%,4595.241055,0.550167151,-0.193000887,168.27%,-0.08,0.68,-13.16
509,2018/2/2,8901.901667,9892.879334,10606.46467,11415.6799,12680.68507,14120.18406,-181.356666,-2.00%,173.69%,108.62%,4579.440951,0.546221883,-0.219846619,159.91%,-0.06,0.6,-9.81
510,2018/2/3,8852.73,9420.894334,10363.51183,11165.6704,12474.46807,14074.54256,-49.171667,-0.55%,175.77%,108.88%,4563.558556,0.542326053,-0.244785887,161.43%,-0.04,0.61,-11
511,2018/2/4,8400.648333,9064.211667,10064.37367,10885.09302,12182.01901,13988.87036,-452.081667,-5.11%,142.98%,109.41%,4547.041838,0.538527998,-0.25593519,130.68%,-0.05,0.31,-14.1
512,2018/2/5,6838.816667,8415.471,9651.273834,10549.32685,11832.67297,13827.81778,-1561.831666,-18.59%,103.70%,110.65%,4533.443757,0.535732152,-0.288793747,93.72%,-0.03,-0.06,-26.09
513,2018/2/6,6925.46,7983.911333,9191.342167,10339.75252,11491.65663,13662.22745,86.643333,1.27%,107.33%,111.74%,4518.937564,0.532776748,-0.305242787,96.05%,0.03,-0.04,-16.03
514,2018/2/7,8099.958333,7823.522667,8858.201,10177.47927,11252.79169,13544.84618,1174.498333,16.96%,122.99%,112.64%,4502.761,0.529228769,-0.30474829,109.18%,0.07,0.09,-7.11
515,2018/2/8,8240.536667,7701.084,8560.989167,10030.7651,11037.00113,13434.35838,140.578334,1.74%,113.88%,113.75%,4488.125153,0.525934814,-0.302248509,100.12%,0.08,0,-17.82
