index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,Credit_of_future_tendency,Risk_credit,Credit_to_SELL,DealDay
337,2017/8/14,1282.3,1285,1273.125,1268.4525,1260.355,1248.450833,-3.8,-0.30%,4.73%,5.97%,20.90027897,0.016723472,0.019554015,79.26%,0,-0.21,(0.05),1
338,2017/8/15,1270.3,1282.18,1274.385,1269.5625,1261.688333,1248.699167,-12,-0.94%,2.40%,5.93%,20.86951059,0.016695465,0.016241465,40.44%,0,-0.6,(0.16),1
339,2017/8/16,1272.75,1279.51,1275.89,1270.145,1262.976667,1248.988333,2.45,0.19%,2.48%,5.90%,20.92527342,0.016737692,0.013090767,42.00%,0,-0.58,(0.15),1
340,2017/8/17,1285.15,1279.32,1278.605,1271.1575,1264.456667,1249.484167,12.4,0.97%,3.48%,5.88%,21.07577058,0.016854854,0.011754719,59.16%,0,-0.41,(0.11),1
341,2017/8/18,1295.8,1281.26,1282.005,1272.7025,1266.245,1250.278333,10.65,0.83%,4.34%,5.86%,21.33252104,0.017056126,0.011857895,74.04%,0,-0.26,(0.07),1
342,2017/8/19,1295.8,1283.96,1284.48,1274.2475,1268.148333,1251.171667,0,0.00%,4.73%,5.83%,21.58211697,0.017251583,0.01246831,81.06%,0,-0.19,(0.05),0
343,2017/8/20,1295.8,1289.06,1285.62,1275.66,1269.723333,1252.06,0,0.00%,5.08%,5.81%,21.81101798,0.017430052,0.015229039,87.40%,0,-0.13,(0.03),0
344,2017/8/21,1292.9,1293.09,1286.3,1276.7575,1271.201667,1252.761667,-2.9,-0.22%,4.55%,5.78%,21.98483004,0.017564322,0.017218616,78.73%,0,-0.21,(0.05),1
345,2017/8/22,1284.2,1292.9,1286.11,1277.4875,1272.39,1253.236667,-8.7,-0.67%,2.91%,5.75%,22.08757331,0.017642704,0.016119272,50.63%,0,-0.49,(0.13),1
346,2017/8/23,1286.65,1291.07,1286.165,1278.415,1273.426667,1253.7525,2.45,0.19%,2.63%,5.72%,22.23470163,0.017757188,0.013855005,46.03%,0,-0.54,(0.14),1
347,2017/8/24,1289,1289.71,1286.835,1279.98,1274.58,1254.3075,2.35,0.18%,2.82%,5.70%,22.40162612,0.017887708,0.011870577,49.51%,0,-0.5,(0.13),1
348,2017/8/25,1285.3,1287.61,1288.335,1281.36,1275.82,1254.975,-3.7,-0.29%,2.52%,5.67%,22.53424428,0.017991091,0.009241116,44.52%,0,-0.55,(0.15),1
349,2017/8/26,1285.3,1286.09,1289.59,1282.74,1276.626667,1255.570833,0,0.00%,2.24%,5.65%,22.66473745,0.01809275,0.007412765,39.59%,0,-0.6,(0.16),0
350,2017/8/27,1285.3,1286.31,1289.605,1284.105,1277.306667,1256.1925,0,0.00%,2.37%,5.62%,22.79093687,0.018191237,0.007048686,42.07%,0,-0.58,(0.15),0
351,2017/8/28,1285.3,1286.04,1288.555,1285.28,1277.986667,1256.889167,0,0.00%,3.62%,5.60%,22.9166964,0.01828922,0.006301579,64.66%,0,-0.35,(0.09),0
352,2017/8/29,1318.65,1291.97,1290.84,1287.66,1279.778333,1258.1625,33.35,2.59%,6.51%,5.57%,23.40744201,0.018674429,0.009526389,116.71%,0,0.17,0.05 ,1
353,2017/8/30,1308.5,1296.61,1292.11,1288.865,1281.143333,1259.266667,-10.15,-0.77%,6.69%,5.55%,23.73181924,0.018927343,0.01207255,120.49%,0,0.2,0.05 ,1
354,2017/8/31,1311.75,1301.9,1293.995,1290.1475,1282.503333,1260.425,3.25,0.25%,6.95%,5.51%,24.02868576,0.019156913,0.015124067,126.03%,0,0.26,0.07 ,1
355,2017/9/1,1320.4,1308.92,1297.615,1291.8625,1284.196667,1261.944167,8.65,0.66%,7.66%,5.48%,24.43294656,0.019471158,0.019251984,139.62%,0.01,0.4,0.11 ,1
356,2017/9/2,1320.4,1315.94,1300.99,1293.5775,1285.94,1263.555,0,0.00%,7.27%,5.45%,24.81978528,0.019771264,0.023329238,133.37%,0,0.33,0.09 ,0
357,2017/9/3,1320.4,1316.29,1304.13,1295.4825,1288.03,1265.223333,0,0.00%,8.53%,5.42%,25.2164677,0.020079354,0.021940483,157.26%,0.01,0.57,0.16 ,0
358,2017/9/4,1333.1,1321.21,1308.91,1298.6225,1290.543333,1267.026667,12.7,0.96%,10.25%,5.40%,25.68946551,0.020445518,0.023762601,189.88%,0,0.9,0.24 ,1
359,2017/9/5,1335.55,1325.97,1313.935,1301.7625,1293.138333,1269.025,2.45,0.18%,10.69%,5.36%,26.10837635,0.020767379,0.025389137,199.29%,0,0.99,0.27 ,1
360,2017/9/6,1337.85,1329.46,1319.19,1304.3975,1295.8,1271.061667,2.3,0.17%,11.24%,5.33%,26.51244182,0.021076623,0.025976231,210.78%,0,1.11,0.30 ,1
361,2017/9/7,1343.5,1334.08,1325.01,1306.7825,1298.523333,1273.1925,5.65,0.42%,11.71%,5.30%,26.94271831,0.021405439,0.027382386,220.97%,0,1.21,0.33 ,1
362,2017/9/8,1346.25,1339.25,1327.77,1309.305,1301.03,1275.431667,2.75,0.20%,11.94%,5.27%,27.39150574,0.021748283,0.029376725,226.74%,0,1.27,0.34 ,1
363,2017/9/9,1346.25,1341.88,1331.545,1311.8275,1303.091667,1277.685,0,0.00%,11.80%,5.23%,27.81043386,0.022067003,0.029766389,225.60%,0.01,1.26,0.34 ,0
364,2017/9/10,1346.25,1344.02,1334.995,1314.495,1305.096667,1279.809167,0,0.00%,11.76%,5.19%,28.21832999,0.022376725,0.0298241,226.51%,0,1.27,0.34 ,0
365,2017/9/11,1334.2,1343.29,1336.375,1316.995,1306.7,1281.730833,-12.05,-0.90%,11.29%,5.16%,28.42021716,0.02252403,0.028001837,219.00%,0,1.19,0.32 ,1
366,2017/9/12,1326.5,1339.89,1336.985,1318.9875,1308.046667,1283.334167,-7.7,-0.58%,7.90%,5.09%,28.43322318,0.022521744,0.024344188,155.12%,0,0.55,0.15 ,1
367,2017/9/13,1327.55,1336.15,1337.7,1320.915,1309.555,1284.955,1.05,0.08%,7.97%,5.06%,28.73123703,0.022748023,0.020308425,157.53%,0,0.58,0.16 ,1
368,2017/9/14,1324.55,1331.81,1336.845,1322.8775,1311.363333,1286.525833,-3,-0.23%,7.72%,5.02%,28.98195232,0.022937001,0.015591916,153.92%,0,0.54,0.15 ,1
369,2017/9/15,1322.85,1327.13,1335.575,1324.755,1313.033333,1288.005,-1.7,-0.13%,7.58%,4.97%,29.20192729,0.023101675,0.010735955,152.60%,0,0.53,0.14 ,1
370,2017/9/16,1322.85,1324.86,1334.075,1326.6325,1314.29,1289.373333,0,0.00%,7.34%,4.92%,29.41123436,0.023257779,0.008042365,149.15%,0,0.49,0.13 ,0
371,2017/9/17,1322.85,1324.13,1332.01,1328.51,1315.191667,1290.718333,0,0.00%,6.54%,4.86%,29.62790121,0.023419859,0.006796221,134.67%,0,0.35,0.09 ,0
372,2017/9/18,1312.1,1321.04,1328.595,1328.1825,1315.735,1291.941667,-10.75,-0.81%,5.05%,4.79%,29.779739,0.023532637,0.004031967,105.39%,0,0.05,0.01 ,1
373,2017/9/19,1309.6,1318.05,1324.93,1328.2375,1316.195,1292.959167,-2.5,-0.19%,4.98%,4.73%,29.93315573,0.023647619,0.001409366,105.34%,0,0.05,0.01 ,1
374,2017/9/20,1311.3,1315.74,1321.435,1328.215,1316.808333,1294.005,1.7,0.13%,5.11%,4.66%,30.09081571,0.023765554,-0.000811305,109.78%,-0.01,0.1,0.03 ,1
375,2017/9/21,1292.1,1309.59,1317.225,1326.8,1317.071667,1294.730833,-19.2,-1.46%,3.58%,4.59%,30.11966188,0.023783708,-0.005680531,77.91%,0,-0.22,(0.06),1
376,2017/9/22,1294.8,1303.98,1314.055,1325.52,1317.343333,1295.385,2.7,0.21%,3.79%,4.52%,30.15972339,0.023810429,-0.010144154,83.97%,0,-0.16,(0.04),1
377,2017/9/23,1294.8,1300.52,1310.78,1324.24,1317.536667,1296.058333,0,0.00%,2.96%,4.45%,30.19747035,0.023835312,-0.012915517,66.51%,0,-0.33,(0.09),0
378,2017/9/24,1294.8,1297.56,1307.805,1322.325,1317.853333,1296.836667,0,0.00%,2.99%,4.40%,30.25976872,0.023880606,-0.01539878,67.83%,0,-0.32,(0.09),0
379,2017/9/25,1293.3,1293.96,1304.85,1320.2125,1318.12,1297.373333,-1.5,-0.12%,3.37%,4.35%,30.3126952,0.023918615,-0.018329135,77.46%,0,-0.23,(0.06),1
380,2017/9/26,1300.05,1295.55,1302.57,1318.3225,1318.611667,1297.959167,6.75,0.52%,4.10%,4.30%,30.38499337,0.023970548,-0.017489354,95.55%,0,-0.04,(0.01),1
381,2017/9/27,1282.55,1293.1,1298.54,1315.275,1318.52,1298.253333,-17.5,-1.35%,3.03%,4.23%,30.37262418,0.023957266,-0.019279192,71.55%,0,-0.28,(0.08),1
382,2017/9/28,1283.35,1290.81,1295.665,1312.13,1317.343333,1298.560833,0.8,0.06%,3.09%,4.17%,30.3460718,0.023932306,-0.020141548,74.25%,0,-0.26,(0.07),1
383,2017/9/29,1283.1,1288.47,1293.015,1308.9725,1316.496667,1298.82,-0.25,-0.02%,3.07%,4.10%,30.31731973,0.023905647,-0.021288825,74.86%,0,-0.25,(0.07),1
384,2017/9/30,1283.1,1286.43,1290.195,1305.815,1315.541667,1299.0225,0,0.00%,2.87%,4.07%,30.28706588,0.023877812,-0.022129034,70.64%,-0.01,-0.29,(0.08),0
385,2017/10/1,1283.1,1283.04,1289.295,1303.26,1314.298333,1299.2475,0,0.00%,2.02%,4.05%,30.26519719,0.023856846,-0.023783286,50.00%,0,-0.5,(0.14),0
386,2017/10/2,1273.7,1281.27,1287.185,1300.62,1312.741667,1299.340833,-9.4,-0.73%,2.24%,4.04%,30.25644669,0.023848282,-0.023973998,55.46%,0,-0.45,(0.12),1
387,2017/10/3,1271.25,1278.85,1284.83,1297.805,1311.103333,1299.566667,-2.45,-0.19%,1.50%,4.02%,30.20877148,0.023808065,-0.024600146,37.21%,0,-0.63,(0.17),1
388,2017/10/4,1274.25,1277.08,1282.775,1295.29,1309.141667,1299.8425,3,0.24%,0.62%,4.02%,30.18676116,0.023788466,-0.024490601,15.33%,0,-0.85,(0.23),1
389,2017/10/5,1274.5,1275.36,1280.895,1292.8725,1307.106667,1300.1225,0.25,0.02%,0.64%,4.02%,30.18895114,0.023789358,-0.02428774,15.83%,0,-0.84,(0.23),1
390,2017/10/6,1261.8,1271.1,1277.07,1289.82,1304.571667,1300.185833,-12.7,-1.00%,-0.37%,4.02%,30.19309768,0.023793107,-0.025657208,-9.13%,-0.01,-1.09,(0.30),1
391,2017/10/7,1261.8,1268.72,1274.995,1286.7675,1301.848333,1300.185833,0,0.00%,0.94%,4.02%,30.1972218,0.023796839,-0.025447153,23.37%,0,-0.77,(0.21),0
392,2017/10/8,1261.8,1266.83,1272.84,1284.2525,1299.033333,1300.031667,0,0.00%,0.71%,4.02%,30.16911798,0.023773475,-0.024790229,17.69%,0,-0.82,(0.22),0
393,2017/10/9,1278.75,1267.73,1272.405,1282.71,1296.783333,1299.9375,16.95,1.34%,0.35%,4.01%,30.15363074,0.023758597,-0.022404154,8.71%,0,-0.91,(0.24),1
394,2017/10/10,1291.4,1271.11,1273.235,1281.715,1294.955,1300.025833,12.65,0.99%,0.56%,4.01%,30.19632269,0.023790464,-0.018413767,14.06%,0,-0.86,(0.23),1
395,2017/10/11,1289.25,1276.6,1273.85,1281.5725,1293.456667,1300.078333,-2.15,-0.17%,0.40%,4.02%,30.21257729,0.023802742,-0.013032262,9.87%,0,-0.9,(0.24),1
396,2017/10/12,1290.25,1282.29,1275.505,1281.345,1292.248333,1300.1475,1,0.08%,0.48%,4.03%,30.23253048,0.02381783,-0.007706207,11.78%,0,-0.88,(0.24),1
397,2017/10/13,1299.6,1289.85,1278.34,1281.585,1291.316667,1300.435833,9.35,0.72%,1.20%,4.04%,30.29601572,0.02386624,-0.001135792,29.81%,0,-0.7,(0.19),1
398,2017/10/14,1299.6,1294.02,1280.875,1281.825,1290.485,1300.924167,0,0.00%,1.20%,4.04%,30.3591282,0.02391435,0.00273928,29.78%,0,-0.7,(0.19),0
399,2017/10/15,1299.6,1295.66,1283.385,1282.14,1289.71,1301.371667,0,0.00%,1.61%,4.04%,30.42187026,0.023962161,0.00461344,39.99%,0.01,-0.6,(0.16),0
400,2017/10/16,1303.3,1298.47,1287.535,1282.3025,1289.058333,1301.674167,3.7,0.28%,1.90%,4.03%,30.51670239,0.02403431,0.007301195,47.02%,0,-0.53,(0.14),1
401,2017/10/17,1284.75,1297.37,1289.83,1282.4125,1287.788333,1301.49,-18.55,-1.42%,0.21%,4.04%,30.52925881,0.024043603,0.007440405,5.12%,0,-0.95,(0.26),1
402,2017/10/18,1280.2,1293.49,1291.67,1282.255,1286.725,1301.23,-4.55,-0.35%,-0.13%,4.04%,30.52533544,0.024040712,0.005257534,-3.18%,0,-1.03,(0.28),1
403,2017/10/19,1286.4,1290.85,1292.435,1282.42,1285.951667,1301.073333,6.2,0.48%,0.35%,4.05%,30.53717313,0.024049559,0.003809112,8.77%,0,-0.91,(0.24),1
404,2017/10/20,1281.2,1287.17,1291.415,1282.325,1284.948333,1300.878333,-5.2,-0.40%,-0.05%,4.06%,30.53578935,0.024048537,0.001728993,-1.25%,0,-1.01,(0.27),1
405,2017/10/21,1281.2,1282.75,1290.61,1282.23,1284.585,1300.828333,0,0.00%,0.93%,4.06%,30.53440509,0.024047515,-0.001428477,22.92%,0,-0.77,(0.21),0
406,2017/10/22,1281.2,1282.04,1289.705,1282.605,1284.131667,1300.7375,0,0.00%,1.06%,4.05%,30.54617642,0.02405555,-0.001628857,26.10%,0,-0.74,(0.20),0
407,2017/10/23,1274.9,1280.98,1287.235,1282.7875,1283.468333,1300.5025,-6.3,-0.49%,1.03%,4.04%,30.54811823,0.024056336,-0.001938757,25.57%,0,-0.74,(0.20),1
408,2017/10/24,1276.45,1278.99,1284.92,1282.8975,1282.856667,1300.355,1.55,0.12%,1.08%,4.03%,30.54614361,0.024053254,-0.003014107,26.80%,0,-0.73,(0.19),1
409,2017/10/25,1275,1277.75,1282.46,1282.9225,1282.246667,1300.183333,-1.45,-0.11%,0.68%,4.02%,30.54377842,0.024050115,-0.003506866,16.78%,0,-0.83,(0.22),1
410,2017/10/26,1273.75,1276.26,1279.505,1283.52,1281.37,1299.990833,-1.25,-0.10%,0.58%,4.02%,30.54387655,0.024049428,-0.003987919,14.35%,-0.01,-0.86,(0.23),1
411,2017/10/27,1266.45,1273.31,1277.675,1283.7525,1280.833333,1299.676667,-7.3,-0.57%,0.00%,4.01%,30.54387655,0.024049428,-0.00587378,0.00%,0,-1,(0.27),1
412,2017/10/28,1266.45,1271.62,1276.3,1283.985,1280.27,1298.806667,0,0.00%,0.00%,4.00%,30.54387655,0.024049428,-0.006756387,0.00%,0,-1,(0.27),0
413,2017/10/29,1266.45,1269.62,1274.305,1283.37,1279.715,1298.105833,0,0.00%,0.88%,3.97%,30.54387655,0.024049428,-0.007888475,22.05%,0,-0.78,(0.21),0
414,2017/10/30,1272,1269.02,1273.385,1282.4,1279.345,1297.443333,5.55,0.44%,1.74%,3.93%,30.52481155,0.024032687,-0.008070536,44.13%,0,-0.56,(0.15),1
415,2017/10/31,1270.15,1268.3,1272.28,1281.445,1278.913333,1296.605833,-1.85,-0.15%,3.39%,3.88%,30.48898097,0.024002404,-0.008298712,87.44%,0,-0.13,(0.04),1
416,2017/11/1,1277.05,1270.42,1271.865,1280.785,1279.025,1295.883333,6.9,0.54%,3.99%,3.81%,30.33331016,0.023874806,-0.006727781,104.85%,0,0.05,0.01 ,1
417,2017/11/2,1279.2,1272.97,1272.295,1279.765,1279.29,1295.196667,2.15,0.17%,4.17%,3.73%,30.17421852,0.023744306,-0.00494024,111.78%,0,0.12,0.03 ,1
418,2017/11/3,1267.2,1273.12,1271.37,1278.145,1279.055,1294.098333,-12,-0.94%,3.19%,3.67%,30.00686732,0.023608598,-0.004640144,86.93%,0,-0.13,(0.04),1
419,2017/11/4,1267.2,1272.16,1270.59,1276.525,1278.811667,1292.959167,0,0.00%,3.04%,3.61%,29.83700957,0.023470964,-0.005201444,84.28%,0,-0.16,(0.04),0
420,2017/11/5,1267.2,1271.57,1269.935,1274.72,1278.991667,1291.781667,0,0.00%,3.83%,3.55%,29.67845646,0.023342446,-0.005802748,108.06%,0,0.08,0.02 ,0
421,2017/11/6,1270.9,1270.34,1270.38,1274.0275,1279.295,1290.571667,3.7,0.29%,3.92%,3.49%,29.43371093,0.023144872,-0.006999949,112.28%,0,0.12,0.03 ,1
422,2017/11/7,1275.6,1269.62,1271.295,1273.7975,1279.755,1289.394167,4.7,0.37%,4.29%,3.46%,29.20964049,0.022963424,-0.007919485,123.80%,0,0.24,0.06 ,1
423,2017/11/8,1284,1272.98,1273.05,1273.6775,1279.93,1288.356667,8.4,0.66%,4.28%,3.44%,28.99477063,0.022788479,-0.005429984,124.71%,0,0.25,0.07 ,1
424,2017/11/9,1284.8,1276.5,1274.33,1273.8575,1279.71,1287.3325,0.8,0.06%,4.35%,3.41%,28.84678199,0.022666897,-0.002508381,127.45%,0,0.27,0.07 ,1
425,2017/11/10,1284.3,1279.92,1275.745,1274.0125,1279.545,1286.500833,-0.5,-0.04%,4.31%,3.40%,28.69386169,0.022541545,0.000293073,126.62%,0,0.27,0.07 ,1
426,2017/11/11,1284.3,1282.6,1276.47,1274.1675,1279.346667,1285.7975,0,0.00%,4.14%,3.39%,28.53711193,0.022413244,0.002542965,122.13%,0,0.22,0.06 ,0
427,2017/11/12,1284.3,1284.34,1276.98,1274.6375,1278.836667,1285.076667,0,0.00%,4.06%,3.37%,28.39292386,0.022295064,0.00430339,120.49%,0,0.2,0.05 ,0
428,2017/11/13,1277.95,1283.13,1278.055,1274.7125,1278.115,1284.3,-6.35,-0.49%,1.63%,3.36%,28.24309721,0.022173206,0.003923747,48.61%,0,-0.51,(0.14),1
429,2017/11/14,1274.6,1281.09,1278.795,1274.6925,1277.281667,1283.495833,-3.35,-0.26%,1.49%,3.37%,28.21685297,0.02215095,0.002981592,44.16%,0,-0.56,(0.15),1
430,2017/11/15,1282.2,1280.67,1280.295,1275.115,1276.578333,1282.818333,7.6,0.60%,2.41%,3.38%,28.19178121,0.022128744,0.003205183,71.46%,0,-0.29,(0.08),1
431,2017/11/16,1280,1279.81,1281.205,1275.7925,1276.42,1282.104167,-2.2,-0.17%,2.24%,3.38%,28.14748287,0.02209129,0.002655866,66.17%,0,-0.34,(0.09),1
432,2017/11/17,1284.35,1279.82,1282.08,1276.6875,1276.558333,1281.641667,4.35,0.34%,2.58%,3.38%,28.10898798,0.022057983,0.002555047,76.41%,0,-0.24,(0.06),1
433,2017/11/18,1284.35,1281.1,1282.115,1277.5825,1276.49,1281.220833,0,0.00%,2.03%,3.39%,28.06930227,0.022023752,0.003611466,59.82%,0,-0.4,(0.11),0
434,2017/11/19,1284.35,1283.05,1282.07,1278.2,1276.595,1280.771667,0,0.00%,1.92%,3.39%,28.05438229,0.022009612,0.00505642,56.49%,0,-0.44,(0.12),0
435,2017/11/20,1286.2,1283.85,1282.26,1279.0025,1276.761667,1280.673333,1.85,0.14%,2.69%,3.40%,28.04662865,0.02200105,0.005551806,79.12%,0,-0.21,(0.06),1
436,2017/11/21,1283.3,1284.51,1282.16,1279.315,1276.831667,1280.481667,-2.9,-0.23%,2.10%,3.40%,28.00452325,0.021965093,0.006013583,61.63%,0,-0.38,(0.10),1
437,2017/11/22,1286.95,1285.03,1282.425,1279.7025,1277.233333,1280.350833,3.65,0.28%,1.73%,3.41%,27.98623685,0.021947897,0.00610434,50.78%,0,-0.49,(0.13),1
438,2017/11/23,1290.35,1286.23,1283.665,1280.86,1277.696667,1280.276667,3.4,0.26%,2.00%,3.41%,27.99876322,0.021955314,0.006678685,58.58%,0,-0.41,(0.11),1
439,2017/11/24,1290.5,1287.46,1285.255,1282.025,1278.213333,1280.23,0.15,0.01%,2.01%,3.42%,28.01103096,0.021962513,0.007234056,58.86%,0,-0.41,(0.11),1
440,2017/11/25,1290.5,1288.32,1286.085,1283.19,1278.771667,1280.070833,0,0.00%,2.01%,3.42%,28.02258781,0.021969152,0.007466801,58.79%,0,-0.41,(0.11),0
441,2017/11/26,1290.5,1289.76,1287.135,1284.17,1279.573333,1280.203333,0,0.00%,2.20%,3.42%,28.03343467,0.021975233,0.007960987,64.34%,0,-0.36,(0.10),0
442,2017/11/27,1294.9,1291.35,1288.19,1285.135,1280.521667,1280.395833,4.4,0.34%,2.27%,3.41%,28.05264318,0.021987224,0.008456189,66.38%,0,-0.34,(0.09),1
443,2017/11/28,1291.85,1291.65,1288.94,1285.5275,1281.368333,1280.541667,-3.05,-0.24%,2.13%,3.41%,28.06826412,0.021997025,0.008023974,62.56%,0,-0.37,(0.10),1
444,2017/11/29,1283.85,1290.32,1288.89,1285.48,1281.763333,1280.554167,-8,-0.62%,0.70%,3.42%,28.06188595,0.021990217,0.006675699,20.43%,0,-0.8,(0.21),1
445,2017/11/30,1280.2,1288.26,1288.29,1285.275,1282.098333,1280.505833,-3.65,-0.28%,0.41%,3.42%,28.06338752,0.021990894,0.004805924,12.04%,0,-0.88,(0.24),1
446,2017/12/1,1275.5,1285.26,1287.51,1284.835,1282.046667,1280.535833,-4.7,-0.37%,0.04%,3.42%,28.06328864,0.021990764,0.002506409,1.26%,0,-0.99,(0.26),1
447,2017/12/2,1275.5,1281.38,1286.365,1284.395,1281.923333,1280.606667,0,0.00%,-0.35%,3.42%,28.06318942,0.021990634,-0.000423842,-10.16%,0,-1.1,(0.29),0
448,2017/12/3,1275.5,1278.11,1284.88,1284.2725,1282.2,1280.6275,0,0.00%,-1.39%,3.43%,28.06179249,0.021989963,-0.00318983,-40.52%,0,-1.41,(0.38),0
449,2017/12/4,1273.45,1276.03,1283.175,1284.215,1282.408333,1280.61,-2.05,-0.16%,-1.36%,3.43%,28.03251786,0.021968929,-0.004973715,-39.61%,0,-1.4,(0.37),1
450,2017/12/5,1266.3,1273.25,1280.755,1283.42,1282.378333,1280.685,-7.15,-0.56%,-0.53%,3.42%,28.01931853,0.021960934,-0.007118284,-15.63%,0,-1.16,(0.31),1
451,2017/12/6,1263.7,1270.89,1278.075,1282.605,1282.138333,1280.716667,-2.6,-0.21%,-0.23%,3.41%,28.03311447,0.021972641,-0.008773104,-6.59%,0,-1.07,(0.29),1
452,2017/12/7,1255,1266.79,1274.085,1281.1375,1281.451667,1280.603333,-8.7,-0.69%,-0.91%,3.42%,28.06726604,0.02200051,-0.011441451,-26.68%,-0.01,-1.27,(0.34),1
453,2017/12/8,1250.65,1261.82,1269.965,1279.4525,1280.34,1280.135,-4.35,-0.35%,-1.26%,3.42%,28.1207703,0.022043967,-0.014464908,-36.72%,-0.01,-1.37,(0.37),1
454,2017/12/9,1250.65,1257.26,1266.645,1277.7675,1279.201667,1279.455833,0,0.00%,-1.24%,3.42%,28.17389905,0.022087136,-0.017152625,-36.36%,0,-1.36,(0.36),0
455,2017/12/10,1250.65,1254.13,1263.69,1275.99,1278.08,1278.8125,0,0.00%,-0.90%,3.42%,28.22638968,0.022129796,-0.018739046,-26.28%,0,-1.26,(0.34),0
456,2017/12/11,1247.15,1250.82,1260.855,1274.1825,1276.841667,1278.094167,-3.5,-0.28%,-2.22%,3.40%,28.2870053,0.022178746,-0.020379713,-65.33%,0,-1.65,(0.44),1
457,2017/12/12,1240.9,1248,1257.395,1271.88,1275.395,1277.115833,-6.25,-0.50%,-1.09%,3.36%,28.40243038,0.022272584,-0.02147962,-32.38%,0,-1.32,(0.36),1
458,2017/12/13,1242.65,1246.4,1254.11,1269.495,1274.218333,1276.166667,1.75,0.14%,-1.02%,3.34%,28.46390611,0.022321943,-0.021831685,-30.41%,0,-1.3,(0.35),1
459,2017/12/14,1251,1246.47,1251.865,1267.52,1273.431667,1275.356667,8.35,0.67%,-0.35%,3.31%,28.48263887,0.02233706,-0.021172449,-10.58%,0,-1.11,(0.30),1
460,2017/12/15,1254.6,1247.26,1250.695,1265.725,1272.511667,1274.545,3.6,0.29%,-0.06%,3.29%,28.48576199,0.022339586,-0.019843957,-1.94%,0,-1.02,(0.27),1
461,2017/12/16,1254.6,1248.75,1249.785,1263.93,1271.665,1274.0425,0,0.00%,0.52%,3.24%,28.48888407,0.022342112,-0.018019683,15.93%,0,-0.84,(0.23),0
462,2017/12/17,1254.6,1251.49,1249.745,1261.915,1270.673333,1273.615833,0,0.00%,1.00%,3.21%,28.45914425,0.022318165,-0.015096983,31.06%,0,-0.69,(0.19),0
463,2017/12/18,1260.6,1255.08,1250.74,1260.3525,1269.881667,1273.185833,6,0.48%,1.46%,3.18%,28.37397738,0.022249602,-0.011655942,45.74%,0,-0.54,(0.14),1
464,2017/12/19,1260.35,1256.95,1251.71,1259.1775,1269.081667,1272.838333,-0.25,-0.02%,0.76%,3.16%,28.29084933,0.022182702,-0.009559406,24.18%,0,-0.76,(0.20),1
465,2017/12/20,1264.55,1258.94,1253.1,1258.395,1268.36,1272.560833,4.2,0.33%,0.70%,3.12%,28.24322912,0.022144044,-0.007426913,22.59%,0,-0.77,(0.21),1
466,2017/12/21,1264.55,1260.93,1254.84,1257.8475,1267.735,1272.283333,0,0.00%,0.70%,3.08%,28.21667409,0.022122375,-0.005367841,22.91%,0,-0.77,(0.21),1
467,2017/12/22,1264.55,1262.92,1257.205,1257.3,1266.988333,1272.110833,0,0.00%,0.70%,3.03%,28.19000924,0.022100622,-0.003211027,23.26%,0,-0.77,(0.21),0
468,2017/12/23,1264.55,1263.71,1259.395,1256.7525,1266.128333,1271.9125,0,0.00%,1.55%,2.98%,28.16323425,0.022078785,-0.001910022,52.03%,0,-0.48,(0.13),0
469,2017/12/24,1264.55,1264.55,1260.75,1256.3075,1265.263333,1271.738333,0,0.00%,1.20%,2.94%,28.08462917,0.022015321,-0.000563783,40.78%,0,-0.59,(0.16),0
470,2017/12/25,1264.55,1264.55,1261.745,1256.22,1264.398333,1271.585,0,0.00%,1.33%,2.92%,28.02946215,0.021970649,0.000119952,45.49%,0,-0.55,(0.15),0
471,2017/12/26,1264.55,1264.55,1262.74,1256.2625,1263.533333,1271.553333,0,0.00%,1.69%,2.89%,27.96564952,0.021919059,0.000804622,58.65%,0,-0.41,(0.11),0
472,2017/12/27,1279.4,1267.52,1265.22,1257.4825,1263.016667,1271.769167,14.85,1.17%,2.99%,2.86%,27.86255557,0.021834861,0.003565538,104.61%,0,0.05,0.02 ,1
473,2017/12/28,1291,1272.81,1268.26,1259.5,1262.988333,1272.178333,11.6,0.91%,3.92%,2.83%,27.76991166,0.021757667,0.00777653,138.55%,0,0.39,0.11 ,1
474,2017/12/29,1291,1278.1,1271.325,1261.5175,1263.226667,1272.495,0,0.00%,3.92%,2.81%,27.67433648,0.02167821,0.011774081,139.88%,0,0.4,0.11 ,0
475,2017/12/30,1291,1283.39,1273.97,1263.535,1263.586667,1272.8425,0,0.00%,5.02%,2.79%,27.57579955,0.021596466,0.015672319,180.31%,0.01,0.8,0.22 ,0
476,2017/12/31,1291,1288.68,1276.615,1265.7275,1264.103333,1273.075,0,0.00%,5.50%,2.79%,27.36577059,0.021426253,0.019441976,197.28%,0.01,0.97,0.26 ,0
477,2018/1/1,1291,1291,1279.26,1268.2325,1264.62,1273.271667,0,0.00%,5.79%,2.79%,27.09261843,0.021206218,0.020860021,207.51%,0.01,1.08,0.29 ,0
478,2018/1/2,1312.05,1295.21,1284.01,1271.7025,1265.838333,1274.019167,21.05,1.63%,7.11%,2.81%,26.8736209,0.021026459,0.023203332,253.42%,0.01,1.53,0.42 ,1
